iter	Logloss
0	0.6616272279
1	0.6400320995
2	0.6218088914
3	0.6091425896
4	0.593776349
5	0.5776944443
6	0.5640805543
7	0.5465024166
8	0.5342909436
9	0.5253110466
10	0.5152172378
11	0.5038767706
12	0.4940543921
13	0.4868879166
14	0.4799839066
15	0.4744067792
16	0.4684003428
17	0.4618849394
18	0.4560375929
19	0.4520084368
20	0.4496671669
21	0.4455551019
22	0.4422780923
23	0.4386629576
24	0.4349462385
25	0.4309778049
26	0.426671326
27	0.423469247
28	0.4208623685
29	0.4172232571
30	0.4133146753
31	0.4101905211
32	0.4066285467
33	0.4044740021
34	0.4022899788
35	0.3999429037
36	0.3962978388
37	0.3933700098
38	0.391252353
39	0.3893302054
40	0.3875203111
41	0.3849303267
42	0.381329806
43	0.3795401371
44	0.3777183482
45	0.375695455
46	0.3745320511
47	0.3721354394
48	0.3685780063
49	0.3666451471
50	0.3644727705
51	0.3625128779
52	0.3611869665
53	0.3603816703
54	0.3589945759
55	0.35750381
56	0.3554533825
57	0.3544003133
58	0.3526025841
59	0.3511300293
60	0.349413321
61	0.3483026981
62	0.3451450412
63	0.3435203763
64	0.3422728246
65	0.3398198464
66	0.3384821395
67	0.3351317236
68	0.3340114614
69	0.3331121337
70	0.3316301862
71	0.3301732773
72	0.3295149078
73	0.3284217257
74	0.3279659239
75	0.3268951344
76	0.3254518481
77	0.324110579
78	0.3228758971
79	0.3219436275
80	0.3206056362
81	0.3191826409
82	0.3170886691
83	0.3160838113
84	0.3150899302
85	0.3140124022
86	0.3130192934
87	0.31068704
88	0.3086032258
89	0.3064107278
90	0.3045562391
91	0.3036882647
92	0.3032737369
93	0.3023178934
94	0.3009276474
95	0.2995991904
96	0.2985231331
97	0.2976560646
98	0.2963154368
99	0.2953531527
100	0.2938846025
101	0.2921889451
102	0.2912674256
103	0.2908712891
104	0.28993277
105	0.2890517838
106	0.287701393
107	0.2861652489
108	0.2856112726
109	0.2849765536
110	0.2834394936
111	0.2827714772
112	0.2818653906
113	0.2807384998
114	0.2796023209
115	0.2784442225
116	0.276819552
117	0.2764915865
118	0.2746645188
119	0.274110636
120	0.2735159385
121	0.2730516526
122	0.2722697879
123	0.2716145708
124	0.2700178652
125	0.2696331982
126	0.2687925734
127	0.2678067043
128	0.2670115788
129	0.2661414737
130	0.2650632017
131	0.2648297469
132	0.2641863057
133	0.2633375855
134	0.2624160064
135	0.2618961258
136	0.2610855522
137	0.2603948194
138	0.2588774226
139	0.2572880096
140	0.2563730688
141	0.2556203957
142	0.2547856707
143	0.2529240247
144	0.2521549677
145	0.2513649024
146	0.2497788367
147	0.2479468194
148	0.2466480959
149	0.2460544857
150	0.2452747714
151	0.2450248183
152	0.2444880531
153	0.243252562
154	0.2427631652
155	0.2425397935
156	0.2416328161
157	0.2409543088
158	0.2403395115
159	0.2395237525
160	0.2390836734
161	0.2384152818
162	0.2376409632
163	0.2366811491
164	0.2348687679
165	0.2344013357
166	0.2328825718
167	0.2319733163
168	0.2312841477
169	0.2306607154
170	0.2290393204
171	0.2284538929
172	0.2277364692
173	0.2257753487
174	0.2252312542
175	0.2233510116
176	0.2228426031
177	0.2223245408
178	0.2206958633
179	0.2199697036
180	0.2193348687
181	0.2184913295
182	0.2180382141
183	0.2175915517
184	0.217026439
185	0.2166247245
186	0.2162109926
187	0.2155026254
188	0.2152076614
189	0.2138091093
190	0.2122242723
191	0.2109937651
192	0.209990616
193	0.209511049
194	0.2084722745
195	0.207621508
196	0.2071554962
197	0.2064088194
198	0.2062315536
199	0.2056559448
